what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1383696609065
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1383696609103
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1383696609171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1383696609362
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1383696611809
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1383696615524
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1383696615545
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.503.v201108102200,"org.eclipse.jst.j2ee.ejb",1383696615644
started,bundle,org.eclipse.jst.j2ee.jca,1.1.500.v201108102200,"org.eclipse.jst.j2ee.jca",1383696615655
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1383696615685
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1383696615697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696624072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696629116
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1383696629126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1383696629126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696635463
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1383696642217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696642335
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1383696646872
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1383696646962
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1383696651261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696655093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696674689
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1383696681236
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1383696681273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383696689185
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1383696696415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383696698454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696700097
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696731271
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1383696736943
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1383696737432
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1383696737522
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1383696740061
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1383696740061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696741010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696797950
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1383696803145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696803841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696815031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696816011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696875084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696883188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696897754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696899577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696909757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383696912953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1383697264914
